selection_item_type,selection_item_code,language_code,selection_item_name,selection_item_short_name,display_order,remarks
user_status,all_closed,eng,All Services Closed by Client,All Closed,4,
user_status,all_closed,jpn,全サービス利用終了,利用終了,4,
user_status,all_terminated,eng,All Services Terminated Due to Issue,All Terminated,5,Display in red
user_status,all_terminated,jpn,全サービス利用終了（疑義あり）,利用終了（疑義あり）,5,赤字表示
world_region,asia,eng,Asia,Asia,1,
world_region,asia,jpn,アジア,アジア,1,
world_region,europe,eng,Europe,Europe,2,
world_region,europe,jpn,ヨーロッパ,ヨーロッパ,2,
world_region,north_america,eng,North America,North America,3,
world_region,north_america,jpn,北アメリカ,北アメリカ,3,
world_region,south_america,eng,South America,South America,4,
world_region,south_america,jpn,南アメリカ,南アメリカ,4,
world_region,oceania,eng,Oceania,Oceania,5,
world_region,oceania,jpn,オセアニア,オセアニア,5,
world_region,africa,eng,Africa,Africa,6,
world_region,africa,jpn,アフリカ,アフリカ,6,
